Uniform distribution
Round took 0.014334564
Round took 0.10396708
Round took 0.019540581
Round took 0.022600027
Round took 0.01959487
Round took 0.039729158
Round took 0.014661919
Round took 0.019771525
Round took 0.002571265
Round took 0.017329624
Round took 0.002211992
Round took 0.017454444
Round took 0.001134085
Round took 0.019329186
Round took 0.002823103
Round took 0.018529795
Round took 0.001652464
Round took 0.017078299
Round took 0.067717216
Round took 0.007926451
Round took 0.000989703
Round took 0.019012487
Round took 0.023697351
Round took 0.01639736
Round took 0.001050424
Round took 0.01972335
Round took 0.021236526
Round took 0.018723644
Round took 0.020277342
Round took 0.018966517
Round took 0.002866115
Round took 0.017661698
Round took 0.022205947
Round took 0.017982384
Round took 0.020916575
Round took 0.019384181
Round took 0.019565348
Round took 0.034100685
Round took 0.321379221
Round took 0.017424182
Round took 0.062999913
Round took 0.017342575
Round took 0.002652371
Round took 0.017201416
Round took 0.021940403
Round took 0.018365862
Round took 0.021533183
Round took 0.019860984
Round took 0.019857345
Round took 0.019957107
Round took 0.018784192
Round took 0.062802729
Round took 0.017687037
Round took 0.002021616
Round took 0.039351191
Round took 0.041532333
Round took 0.017094785
Round took 0.021763535
Round took 0.019460556
Round took 0.018743383
Round took 0.023091996
Round took 0.053337986
Round took 0.080539644
Round took 0.023773393
Round took 0.077987935
Round took 0.019741682
Round took 0.01781539
Round took 0.023366564
Round took 0.020588682
Round took 0.023974895
Round took 0.03824963
Round took 0.052234561
Round took 0.040416026
Round took 0.017933447
Round took 0.022679179
Round took 0.017303291
Round took 0.020982771
Round took 0.021661033
Round took 0.017306758
Round took 0.002489753
Round took 0.019474491
Round took 0.018860425
Round took 0.021931908
Round took 0.019205321
Round took 0.019216613
Round took 0.022373349
Round took 0.016747791
Round took 0.082984042
Round took 0.017624131
Round took 0.002325519
Round took 0.018413827
Round took 0.021486353
Round took 0.017329899
Round took 0.042091838
Round took 0.01903444
Round took 0.021484501
Round took 0.018360217
Round took 0.022391039
Round took 0.017210928
Round took 0.002934645
Round took 0.016839264
Round took 0.002774545
Round took 0.01716771
Round took 0.456906882
Round took 0.016257803
Round took 0.097618213
Round took 0.080554442
Round took 0.020492596
Round took 0.018636798
Round took 0.08244981
Round took 0.017078439
Round took 0.142494962
Round took 0.01833491
Round took 0.022513954
Round took 0.016618441
Round took 0.083280535
Round took 0.0190817
Round took 0.018451765
Round took 0.041979395
Round took 0.01803115
Round took 0.053557804
Round took 0.03710975
Round took 0.029102356
Round took 0.002175971
Round took 0.017559635
Round took 0.182911059
Round took 0.076088537
Round took 0.020798588
Round took 0.019255197
Round took 0.01964675
Round took 0.015530604
Round took 0.064412933
Round took 0.019146927
Round took 0.022078929
Round took 0.0175525
Round took 0.02297506
Round took 0.016975458
Round took 0.002454838
Round took 0.018132637
Round took 0.002412023
Round took 0.01660783
Round took 0.10231574
Round took 0.036102573
Round took 0.031711692
Round took 0.020092189
Round took 0.199107804
Round took 0.020474055
Round took 0.011174874
Round took 0.00086641
