Uniform distribution
Round took 0.01908482
Round took 0.00659692
Round took 0.020692776
Round took 0.009370288
Round took 0.008562829
Round took 0.008547764
Round took 0.006326474
Round took 0.022536904
Round took 0.06038379
Round took 0.004443322
Round took 0.016096706
Round took 0.006284505
Round took 0.011370275
Round took 0.007189082
Round took 0.004851465
Round took 0.016242398
Round took 0.012923231
Round took 0.018717313
Round took 0.020542402
Round took 0.010775466
Round took 0.012825992
Round took 0.008415924
Round took 0.014164951
Round took 0.006009297
Round took 0.007188508
Round took 0.015799839
Round took 0.006945891
Round took 0.010670223
Round took 0.006086112
Round took 0.007099629
Round took 0.008903856
Round took 0.005368519
Round took 0.013338591
Round took 0.011407254
Round took 0.006310009
Round took 0.013922445
Round took 0.007074825
Round took 0.011846238
Round took 0.013508934
Round took 0.014571101
Round took 0.021002308
Round took 0.020836058
Round took 0.012964914
Round took 0.034001998
Round took 0.017996558
Round took 0.016358911
Round took 0.016694839
Round took 0.021302727
Round took 0.016597794
Round took 0.047014908
Round took 0.010670266
Round took 0.009411874
Round took 0.008093949
Round took 0.022340923
Round took 0.024118462
Round took 0.022689892
Round took 0.025245125
Round took 0.024799046
Round took 0.017881396
Round took 0.035211952
Round took 0.049893853
Round took 0.00910957
Round took 0.01543205
Round took 0.006140642
Round took 0.021064078
Round took 0.006880426
Round took 0.006708597
Round took 0.009510548
Round took 0.011593484
Round took 0.011863557
Round took 0.011153066
Round took 0.007155442
Round took 0.018000972
Round took 0.012949289
Round took 0.010069903
Round took 0.024156179
Round took 0.011985623
Round took 0.021379266
Round took 0.037641751
Round took 0.025607771
Round took 0.022384778
Round took 0.022491675
Round took 0.033685489
Round took 0.029655247
Round took 0.024059874
Round took 0.017358222
Round took 0.021482694
Round took 0.024722623
Round took 0.022367551
Round took 0.04464807
Round took 0.008025084
Round took 0.008811892
Round took 0.017155274
Round took 0.014290453
Round took 0.012336298
Round took 0.017355884
Round took 0.010968755
Round took 0.016118983
Round took 0.015748934
Round took 0.022800161
Round took 0.018710025
Round took 0.020070899
Round took 0.02513576
Round took 0.023052421
Round took 0.005767103
Round took 0.019655017
Round took 0.020931096
Round took 0.041883797
Round took 0.036851776
Round took 0.008866904
Round took 0.015990216
Round took 0.036698361
Round took 0.017553525
Round took 0.022645412
Round took 0.022743797
Round took 0.013640938
Round took 0.015438251
Round took 0.016349097
Round took 0.016150724
Round took 0.02311095
Round took 0.027607286
Round took 0.025778441
Round took 0.029235569
Round took 0.022568444
Round took 0.02526859
Round took 0.029076515
Round took 0.025075618
Round took 0.02737644
Round took 0.028242919
Round took 0.025472841
Round took 0.019581057
Round took 0.027081178
Round took 0.025848494
Round took 0.018575304
Round took 0.022507242
Round took 0.026701647
Round took 0.024793279
Round took 0.021723051
Round took 0.028790244
Round took 0.02456074
Round took 0.018560037
Round took 0.045917986
Round took 0.008384716
Round took 0.008814697
Round took 0.027374613
Round took 0.030794611
Round took 0.024869126
Round took 0.024656559
Round took 0.023708718
Round took 0.027336475
Round took 0.021355676
Round took 0.016779061
Round took 0.024879589
Round took 0.036534859
Round took 0.028517288
Round took 0.051045285
Round took 0.038125477
Round took 0.023615764
Round took 0.023446195
Round took 0.035157286
Round took 0.025906274
Round took 0.022148053
Round took 0.01850469
Round took 0.025747051
Round took 0.024897938
Round took 0.024858509
Round took 0.021567575
Round took 0.033109744
Round took 0.030379951
Round took 0.022416106
Round took 0.029672576
Round took 0.027945213
Round took 0.039566913
Round took 0.026061569
Round took 0.024577569
Round took 0.020301651
Round took 0.024232214
Round took 0.022139033
Round took 0.029136146
Round took 0.031505548
Round took 0.026839473
Round took 0.023954028
Round took 0.02264721
Round took 0.024110051
Round took 0.030530757
Round took 0.029402517
Round took 0.028464879
Round took 0.024712017
Round took 0.021918686
Round took 0.020079044
Round took 0.024477786
Round took 0.043801308
Round took 0.037381566
Round took 0.023952285
Round took 0.039594941
Round took 0.030341154
Round took 0.025560512
Round took 0.025189272
Round took 0.022911483
Round took 0.025939454
Round took 0.025756827
Round took 0.024949118
Round took 0.036330792
Round took 0.021278221
Round took 0.020836932
Round took 0.030314028
Round took 0.028955429
Round took 0.015984355
Round took 0.02857174
Round took 0.05027254
Round took 0.009821914
Round took 0.013876615
Round took 0.011894251
Round took 0.00377932
Round took 0.014588262
Round took 0.011139744
Round took 0.0073286
Round took 0.014726947
Round took 0.00584789
Round took 0.012701715
Round took 0.01541631
Round took 0.011519625
Round took 0.007407788
Round took 0.008738651
Round took 0.005669169
Round took 0.020556421
Round took 0.007454249
Round took 0.010790689
Round took 0.018497018
Round took 0.010651143
Round took 0.011741152
Round took 0.013953515
Round took 0.010225799
Round took 0.009520046
Round took 0.012349457
Round took 0.015587707
Round took 0.013141684
Round took 0.012138793
Round took 0.015228065
Round took 0.018598498
Round took 0.00970841
Round took 0.007989228
Round took 0.018788603
Round took 0.014470014
Round took 0.008425339
Round took 0.009830167
Round took 0.011130404
Round took 0.02913563
Round took 0.035644116
Round took 0.035372248
Round took 0.029316574
Round took 0.062870989
Round took 0.029027431
Round took 0.029863034
Round took 0.024445361
Round took 0.055129487
Round took 0.010904661
Round took 0.012715878
Round took 0.063285911
Round took 0.01159028
Round took 0.035051958
Round took 0.027268874
Round took 0.029631332
Round took 0.04409959
Round took 0.024078396
Round took 0.031976978
Round took 0.030190972
Round took 0.023860129
Round took 0.029199971
Round took 0.025559527
Round took 0.02959267
Round took 0.025273029
Round took 0.030113706
Round took 0.027363865
Round took 0.026967019
Round took 0.022382913
Round took 0.024354791
Round took 0.048011411
Round took 0.035001614
Round took 0.041222683
Round took 0.043569939
Round took 0.007279092
Round took 0.009284043
Round took 0.007287676
Round took 0.006957436
Round took 0.025360291
Round took 0.034359739
Round took 0.039698701
Round took 0.032195908
Round took 0.040227269
Round took 0.048424278
Round took 0.027451178
Round took 0.026086761
Round took 0.040764071
Round took 0.00901341
Round took 0.024608735
Round took 0.03230611
Round took 0.027748993
Round took 0.039776157
Round took 0.034136048
Round took 0.025760427
Round took 0.025693425
Round took 0.030489251
Round took 0.030436421
Round took 0.026947347
Round took 0.035080045
Round took 0.024473934
Round took 0.024795004
Round took 0.049464534
Round took 0.040816474
Round took 0.058705753
Round took 0.025716321
Round took 0.029845448
Round took 0.030553503
Round took 0.026997713
Round took 0.023765878
Round took 0.026732253
Round took 0.032900125
Round took 0.029776364
Round took 0.03588667
Round took 0.033602445
Round took 0.02825521
Round took 0.03176786
Round took 0.028452456
Round took 0.034187179
Round took 0.035471719
Round took 0.031412522
Round took 0.036781204
Round took 0.011960327
Round took 0.024028795
Round took 0.028180677
Round took 0.033477225
Round took 0.025832646
Round took 0.075062829
Round took 0.036421957
Round took 0.027838133
Round took 0.024517149
Round took 0.022761948
Round took 0.032717914
Round took 0.022931229
Round took 0.027256441
Round took 0.025723239
Round took 0.026856992
Round took 0.056837736
Round took 0.009130306
Round took 0.010605081
Round took 0.011069508
Round took 0.015192551
Round took 0.007506408
Round took 0.071935366
Round took 0.038789197
Round took 0.037540295
Round took 0.074222066
Round took 0.007245199
Round took 0.018068983
Round took 0.017041188
Round took 0.014347601
Round took 0.019804845
Round took 0.019662992
Round took 0.017047498
Round took 0.017666839
Round took 0.011960568
Round took 0.01832785
Round took 0.013354332
Round took 0.005525247
Round took 0.017633664
Round took 0.013000975
Round took 0.074529465
Round took 0.005488887
Round took 0.01322502
Round took 0.014567505
Round took 0.004521521
Round took 0.004552852
Round took 0.005590422
Round took 0.005738256
Round took 0.004167274
Round took 0.004911393
Round took 0.00782025
Round took 0.010262437
Round took 0.018725046
Round took 0.014565996
Round took 0.012736921
Round took 0.009545064
Round took 0.016829807
Round took 0.015816152
Round took 0.017009917
Round took 0.010746278
Round took 0.008419017
Round took 0.012219245
Round took 0.024136588
Round took 0.017857796
Round took 0.010828511
Round took 0.037686324
Round took 0.03313351
Round took 0.035195426
Round took 0.032221706
Round took 0.008148398
Round took 0.043258006
Round took 0.027084977
Round took 0.040152326
Round took 0.054215803
Round took 0.010239844
Round took 0.014739005
Round took 0.023813614
Round took 0.009930007
Round took 0.011886341
Round took 0.027604508
Round took 0.017851571
Round took 0.016292953
Round took 0.012747382
Round took 0.007196515
Round took 0.005655877
Round took 0.011619939
Round took 0.014617088
Round took 0.015009583
Round took 0.018379551
Round took 0.01003286
Round took 0.020136172
Round took 0.016596225
Round took 0.012720321
Round took 0.035866902
Round took 0.012903296
Round took 0.01319274
Round took 0.020942762
Round took 0.02429252
Round took 0.021507207
Round took 0.015899807
Round took 0.019970924
Round took 0.012983968
Round took 0.056837868
Round took 0.007165997
Round took 0.004968031
Round took 0.006132273
Round took 0.004008852
Round took 0.015693555
Round took 0.026782209
Round took 0.004519399
Round took 0.015625492
Round took 0.024681741
Round took 0.041808687
Round took 0.037302747
Round took 0.035259217
Round took 0.031273818
Round took 0.03980168
Round took 0.028694581
Round took 0.051848131
Round took 0.030524076
Round took 0.033630563
Round took 0.055797584
Round took 0.04447856
Round took 0.040063628
Round took 0.036052011
Round took 0.036901763
Round took 0.035827766
Round took 0.032197248
Round took 0.055996663
Round took 0.016797538
Round took 0.014246261
Round took 0.020969771
Round took 0.035851629
Round took 0.05014347
Round took 0.031553322
Round took 0.046426587
Round took 0.033943055
Round took 0.046572057
Round took 0.071497676
Round took 0.029724826
Round took 0.038322485
Round took 0.046207299
Round took 0.029691302
Round took 0.041948955
Round took 0.037664017
Round took 0.041123436
Round took 0.037878252
Round took 0.026626274
Round took 0.022648032
Round took 0.035989723
Round took 0.04491622
Round took 0.036518221
Round took 0.030547196
Round took 0.034246936
Round took 0.041721092
Round took 0.044240276
Round took 0.026977455
Round took 0.03340034
Round took 0.079585118
Round took 0.03018108
Round took 0.043493133
Round took 0.045274769
Round took 0.034841961
Round took 0.003093713
Round took 0.004000311
Round took 0.037407591
Round took 0.04449502
Round took 0.004669944
Round took 0.034973746
Round took 0.020681209
Round took 0.009135965
Round took 0.016254105
Round took 0.019299296
Round took 0.008515796
Round took 0.014293674
Round took 0.06359423
Round took 0.002983758
Round took 0.004271934
Round took 0.004714635
Round took 0.005392393
Round took 0.013130618
Round took 0.023887009
Round took 0.020684004
Round took 0.018577733
Round took 0.004976288
Round took 0.005626142
Round took 0.015147925
Round took 0.035288611
Round took 0.02336713
Round took 0.041094191
Round took 0.036212599
Round took 0.036491255
Round took 0.040628317
Round took 0.039144985
Round took 0.031886768
Round took 0.050600743
Round took 0.041349214
Round took 0.041868183
Round took 0.038714833
Round took 0.041143527
Round took 0.03766165
Round took 0.037865905
Round took 0.04008599
Round took 0.046872686
Round took 0.0311288
Round took 0.035779679
Round took 0.030641191
Round took 0.037706782
Round took 0.035608121
Round took 0.045042722
Round took 0.029931784
Round took 0.035018258
Round took 0.026040025
Round took 0.009850585
Round took 0.060752678
Round took 0.010626643
Round took 0.012359663
Round took 0.019665268
Round took 0.019021547
Round took 0.016824396
Round took 0.010223757
Round took 0.024334564
Round took 0.028018343
Round took 0.02569284
Round took 0.017996986
Round took 0.026606279
Round took 0.010996476
Round took 0.007504137
Round took 0.007658103
Round took 0.019631989
Round took 0.038251097
Round took 0.003353566
Round took 0.016401977
Round took 0.022415606
Round took 0.01044645
Round took 0.019179142
Round took 0.01996343
Round took 0.023694263
Round took 0.013211145
Round took 0.018878022
Round took 0.013913333
Round took 0.010528066
Round took 0.025175637
Round took 0.019338395
Round took 0.020831259
Round took 0.030649945
Round took 0.042922819
Round took 0.039780388
Round took 0.039819211
Round took 0.031488298
Round took 0.030977854
Round took 0.035428335
Round took 0.037836253
Round took 0.038045286
Round took 0.043065087
Round took 0.045287863
Round took 0.030263437
Round took 0.042541331
Round took 0.031817253
Round took 0.074811967
Round took 0.033240222
Round took 0.077848444
Round took 0.049506237
Round took 0.076272294
Round took 0.094306512
Round took 0.035294678
Round took 0.048102973
Round took 0.041305193
Round took 0.030406966
Round took 0.032648378
Round took 0.07414521
Round took 0.018639297
Round took 0.01684508
Round took 0.01038159
Round took 0.037270968
Round took 0.064753187
Round took 0.034926881
Round took 0.042005363
Round took 0.036153768
Round took 0.034613997
Round took 0.033002296
Round took 0.048279414
Round took 0.043044591
Round took 0.0431824
Round took 0.027528248
Round took 0.035178129
Round took 0.035478829
Round took 0.039021909
Round took 0.10441437
Round took 0.023332239
Round took 0.012056811
Round took 0.015819508
Round took 0.007296175
Round took 0.016484899
Round took 0.026017054
Round took 0.012055774
Round took 0.016129443
Round took 0.015543838
Round took 0.016929411
Round took 0.015924909
Round took 0.018807615
Round took 0.016609282
Round took 0.018300406
Round took 0.010508466
Round took 0.015149208
Round took 0.033713735
Round took 0.015747347
Round took 0.022341491
Round took 0.027342608
Round took 0.02200905
Round took 0.019886516
Round took 0.015449059
Round took 0.023199424
Round took 0.03293006
Round took 0.024862294
Round took 0.019956666
Round took 0.026320025
Round took 0.042699172
Round took 0.082296962
Round took 0.031987446
Round took 0.035951438
Round took 0.029435823
Round took 0.071119793
Round took 0.033901183
Round took 0.044680661
Round took 0.042527887
Round took 0.041694946
Round took 0.045422315
Round took 0.048381085
Round took 0.036118357
Round took 0.03632314
Round took 0.047822313
Round took 0.039089203
Round took 0.04276744
Round took 0.03873675
Round took 0.045463622
Round took 0.046494539
Round took 0.041668793
Round took 0.045295019
Round took 0.040604038
Round took 0.044294624
Round took 0.054446398
Round took 0.032939159
Round took 0.038007107
Round took 0.031961345
Round took 0.036566416
Round took 0.045319737
Round took 0.03691753
Round took 0.099918642
Round took 0.030890254
Round took 0.019477739
Round took 0.028983014
Round took 0.048310281
Round took 0.031660863
Round took 0.032424167
Round took 0.070305102
Round took 0.048914458
Round took 0.038123463
Round took 0.034615551
Round took 0.037941278
Round took 0.03551003
Round took 0.047013755
Round took 0.051362909
Round took 0.037942372
Round took 0.052421385
Round took 0.043116905
Round took 0.043896072
Round took 0.068621425
Round took 0.041906174
Round took 0.043976354
Round took 0.039618352
Round took 0.067068503
Round took 0.068962796
Round took 0.036352316
Round took 0.043556831
Round took 0.099149805
Round took 0.046938553
Round took 0.03692253
Round took 0.05049017
Round took 0.032525415
Round took 0.04461752
Round took 0.040098804
Round took 0.035306003
Round took 0.032646879
Round took 0.082964741
Round took 0.037000919
Round took 0.047506884
Round took 0.044541152
Round took 0.046861271
Round took 0.034711195
Round took 0.061401235
Round took 0.037194113
