Uniform distribution
Round took 0.017555787
Round took 0.052048837
Round took 0.006688337
Round took 0.014700413
Round took 0.008843822
Round took 0.010595759
Round took 0.009219215
Round took 0.012551763
Round took 0.009507814
Round took 0.011199058
Round took 0.029962127
Round took 0.010195259
Round took 0.012360738
Round took 0.016395988
Round took 0.010484294
Round took 0.010072769
Round took 0.008583313
Round took 0.012350365
Round took 0.01348346
Round took 0.01198094
Round took 0.026832601
Round took 0.010795018
Round took 0.038929961
Round took 0.072717268
Round took 0.015718121
Round took 0.024699677
Round took 0.017976122
Round took 0.015475301
Round took 0.017646859
Round took 0.030097174
Round took 0.015169106
Round took 0.013693091
Round took 0.019905921
Round took 0.02598612
Round took 0.012948864
Round took 0.015907499
Round took 0.024106457
Round took 0.029674473
Round took 0.017852684
Round took 0.022788976
Round took 0.024300993
Round took 0.029508683
Round took 0.023758013
Round took 0.021307635
Round took 0.022695483
Round took 0.02570267
Round took 0.040062253
Round took 0.018578258
Round took 0.026957428
Round took 0.024109708
Round took 0.028766023
Round took 0.028181201
Round took 0.019113037
Round took 0.041013629
Round took 0.0240068
Round took 0.032070863
Round took 0.021005478
Round took 0.02714274
Round took 0.019208119
Round took 0.027991317
Round took 0.028493368
Round took 0.019784677
Round took 0.02001753
Round took 0.032112416
Round took 0.025369401
Round took 0.042152094
Round took 0.05141009
Round took 0.038615353
Round took 0.02116677
Round took 0.020863364
Round took 0.017253976
Round took 0.017884244
Round took 0.026550478
Round took 0.027937155
Round took 0.0144349
Round took 0.015350724
Round took 0.012514345
Round took 0.021733353
Round took 0.021123638
Round took 0.027212152
Round took 0.024766923
Round took 0.037183579
Round took 0.043847462
Round took 0.062587139
Round took 0.021110731
Round took 0.024129342
Round took 0.021611432
Round took 0.023234697
Round took 0.022144931
Round took 0.026214032
Round took 0.024196524
Round took 0.039283916
Round took 0.034902755
Round took 0.033753525
Round took 0.029952716
Round took 0.036090472
Round took 0.035011999
Round took 0.045474956
Round took 0.028125929
Round took 0.015551468
Round took 0.018279874
Round took 0.02720165
Round took 0.030081686
Round took 0.032540897
Round took 0.04060271
Round took 0.037525356
Round took 0.036249923
Round took 0.032939908
Round took 0.040345068
Round took 0.026818594
Round took 0.026634385
Round took 0.028989063
Round took 0.048161524
Round took 0.029307529
Round took 0.035547324
Round took 0.043724243
Round took 0.060934069
Round took 0.037103456
Round took 0.037011887
Round took 0.047296418
Round took 0.044988868
Round took 0.033977218
Round took 0.092391942
Round took 0.052068139
Round took 0.039210486
Round took 0.068409509
Round took 0.083319367
Round took 0.038265392
Round took 0.089009691
Round took 0.032218268
Round took 0.049134024
Round took 0.03695908
Round took 0.04418201
Round took 0.059473464
Round took 0.067186413
Round took 0.061832511
Round took 0.03382299
Round took 0.04252746
Round took 0.033872178
Round took 0.036708583
Round took 0.031380853
Round took 0.040108166
Round took 0.044699322
Round took 0.062573096
Round took 0.062082507
Round took 0.038186581
Round took 0.041022649
Round took 0.035298064
Round took 0.034748633
Round took 0.061206368
Round took 0.045744605
Round took 0.061151119
Round took 0.080130717
Round took 0.029962465
Round took 0.050702181
Round took 0.074997205
Round took 0.041642981
Round took 0.091381156
Round took 0.045168948
Round took 0.046598499
Round took 0.052965082
Round took 0.060541288
Round took 0.064726608
Round took 0.089277551
Round took 0.04127397
Round took 0.062393516
Round took 0.059605466
Round took 0.063965267
Round took 0.065429688
Round took 0.044407253
Round took 0.048978111
Round took 0.056921442
Round took 0.08055824
Round took 0.051864227
Round took 0.066121601
Round took 0.083423667
Round took 0.079106783
Round took 0.039542435
Round took 0.053758822
Round took 0.047250867
Round took 0.05537025
Round took 0.07039282
Round took 0.057490425
Round took 0.059229988
Round took 0.047402705
Round took 0.056298638
Round took 0.054071539
Round took 0.065325726
Round took 0.058484089
Round took 0.050348642
Round took 0.061466371
Round took 0.052104017
Round took 0.054265863
Round took 0.069690684
Round took 0.05576098
Round took 0.071144407
Round took 0.065796906
