Uniform distribution
Round took 0.080127815
Round took 0.070151144
Round took 0.075667273
Round took 0.086480177
Round took 0.086510887
Round took 0.078567925
Round took 0.080049969
Round took 0.139010003
Round took 0.090882908
Round took 0.297287802
Round took 0.086493645
Round took 0.104992363
Round took 0.084167288
Round took 0.105001405
Round took 0.117190808
Round took 0.092666049
Round took 0.091984372
Round took 0.07740268
Round took 0.082888258
Round took 0.088515671
Round took 0.106165933
Round took 0.065201034
Round took 0.083037327
Round took 0.096283656
Round took 0.300740303
Round took 0.098210023
Round took 0.085001626
Round took 0.34824504
Round took 0.098575081
Round took 0.084820866
Round took 0.09220751
Round took 0.086514876
Round took 0.082219846
Round took 0.101126009
Round took 0.29907907
Round took 0.084423845
Round took 0.08486766
Round took 0.087284505
Round took 0.090026916
Round took 0.075998726
Round took 0.08118381
Round took 0.311004397
Round took 0.09408634
Round took 0.088851066
Round took 0.084529961
Round took 0.104241896
Round took 0.31275468
Round took 0.096457852
Round took 0.081181148
Round took 0.297126722
Round took 0.085395417
Round took 0.092260947
Round took 0.084414422
Round took 0.093906113
Round took 0.097464306
Round took 0.102249539
Round took 0.104889121
Round took 0.083483706
Round took 0.096395851
Round took 0.089627291
Round took 0.086460657
Round took 0.0912639
Round took 0.090309604
Round took 0.086930194
Round took 0.087586519
Round took 0.092656895
Round took 0.085716483
Round took 0.091208607
Round took 0.083485684
Round took 0.091825733
Round took 0.103576474
Round took 0.309432741
Round took 0.089329739
Round took 0.091315449
Round took 0.098082319
Round took 0.816827189
Round took 0.0885803
Round took 0.085018923
Round took 0.092488694
Round took 0.30900362
Round took 0.094764183
Round took 0.082237741
Round took 0.099565547
Round took 0.092937903
Round took 0.08941857
Round took 0.086617233
Round took 0.093270438
Round took 0.305661817
Round took 0.090736621
Round took 0.089786335
Round took 0.095234258
Round took 0.081595952
Round took 0.09468343
Round took 0.094588768
Round took 0.082015672
Round took 0.088695861
Round took 0.288009637
Round took 0.084003883
Round took 0.083037957
Round took 0.089857403
Round took 0.095660573
Round took 0.094138606
Round took 0.081375155
Round took 0.086882522
Round took 0.088976855
Round took 0.092138257
Round took 0.090405926
Round took 0.092403476
Round took 0.090086666
Round took 0.088014927
Round took 0.086250799
Round took 0.080908041
Round took 0.300437532
Round took 0.088521138
Round took 0.828250813
Round took 0.112330424
Round took 0.088233115
Round took 0.098254017
Round took 0.08557877
Round took 0.088915462
Round took 0.086968172
Round took 0.089352055
Round took 0.094599782
Round took 0.095592246
Round took 0.085818768
Round took 0.087862945
Round took 0.307150744
Round took 0.096534172
Round took 0.092749143
Round took 0.08736515
Round took 0.306615573
Round took 0.308699017
Round took 0.103322691
Round took 0.097415436
Round took 0.107657936
Round took 0.127894046
Round took 0.097524174
Round took 0.127249312
Round took 0.096760161
Round took 0.124209238
Round took 0.102980836
Round took 0.095449237
Round took 0.103950499
Round took 0.095754512
Round took 0.096673668
Round took 0.099777676
Round took 0.09701821
Round took 0.089868478
Round took 0.09167091
Round took 0.319649736
Round took 0.103016977
Round took 0.307570057
Round took 0.091768032
Round took 0.075980753
Round took 0.072573997
Round took 0.097726037
Round took 0.091301151
Round took 0.076148242
Round took 0.076617859
Round took 0.290019893
Round took 0.091261689
Round took 0.796969807
Round took 0.086688608
Round took 0.298838707
Round took 0.087476406
Round took 0.086567934
Round took 0.091458455
Round took 0.303566895
Round took 0.08726301
Round took 0.078688094
Round took 0.11995965
Round took 0.083672958
Round took 0.301011342
Round took 0.085072499
Round took 0.079649555
Round took 0.086575704
Round took 0.086653157
Round took 0.087319219
Round took 0.087599703
Round took 0.082588692
Round took 0.085203804
Round took 0.086901834
Round took 0.087398671
Round took 0.080823218
Round took 0.082375383
Round took 0.081602508
Round took 0.109476291
Round took 0.110410283
Round took 0.098476436
Round took 0.09096455
Round took 0.102155993
Round took 0.102325596
Round took 0.092337429
Round took 0.303323818
Round took 0.101523555
Round took 0.102565258
Round took 0.298303144
Round took 0.082654681
Round took 0.293354664
Round took 0.088690395
Round took 0.083067463
Round took 0.082613171
Round took 0.308429335
Round took 0.08026469
Round took 0.083069703
Round took 0.103263805
Round took 0.088428445
Round took 0.085589247
Round took 0.078269177
Round took 0.092661853
Round took 0.094152155
Round took 0.088776242
Round took 0.096810286
Round took 0.083910268
Round took 0.092187608
Round took 0.088758785
Round took 0.080744278
Round took 0.089632633
Round took 0.082490654
Round took 0.086657995
Round took 0.108128952
Round took 0.094394699
Round took 0.108387872
Round took 0.113132937
Round took 0.082252227
Round took 0.099357806
Round took 0.090710522
Round took 0.301812605
Round took 0.0942685
Round took 0.098824544
Round took 0.296848067
Round took 0.087541485
Round took 0.088153214
Round took 0.093287238
Round took 0.31062497
Round took 0.093781639
Round took 0.099371243
Round took 0.090492283
Round took 0.082244367
Round took 0.087144844
Round took 0.09542411
Round took 0.092332608
Round took 0.299586845
Round took 0.08500058
Round took 0.092621278
Round took 0.079613512
Round took 0.087287652
Round took 0.307655106
Round took 0.094185698
Round took 0.317827538
Round took 0.087788141
Round took 0.091624977
Round took 0.102144643
Round took 0.093259245
Round took 0.085947393
Round took 0.084856914
Round took 0.089008834
Round took 0.51792194
Round took 0.093831607
Round took 0.091357885
Round took 0.303834823
Round took 0.095280346
Round took 0.308137739
Round took 0.092459311
Round took 0.075845688
Round took 0.097883303
Round took 0.111175302
Round took 0.097337761
Round took 0.103393214
Round took 0.10126592
Round took 0.10132854
Round took 0.108323342
Round took 0.101971544
Round took 0.106313083
Round took 0.103459819
Round took 0.106481737
Round took 0.816388282
Round took 0.316898713
Round took 0.09784129
Round took 0.096882086
Round took 0.092113638
Round took 0.100421471
Round took 0.097851846
Round took 0.093316256
Round took 0.31167271
Round took 0.10230593
Round took 0.106962809
Round took 0.106502117
Round took 0.31214108
Round took 0.112863622
Round took 0.101958814
Round took 0.313296499
Round took 0.105521958
Round took 0.102163255
Round took 0.31412576
Round took 0.105060528
Round took 0.112048635
Round took 0.101453323
Round took 0.09313454
Round took 0.814887545
Round took 0.089163315
Round took 0.097876023
Round took 0.097821394
Round took 0.312862306
Round took 0.311656765
Round took 0.101225181
Round took 0.095711346
Round took 0.097448573
Round took 0.099048117
Round took 0.090626235
Round took 0.099590637
Round took 0.103693141
Round took 0.09994218
Round took 0.095549436
Round took 0.108108389
Round took 0.098994784
Round took 0.0986067
Round took 0.098672173
Round took 0.102527328
Round took 0.10196041
Round took 0.110458494
Round took 0.101948677
Round took 0.104855415
Round took 0.101250225
Round took 0.097044794
Round took 1.318253766
Round took 0.308513587
Round took 0.317512026
Round took 0.088379671
Round took 0.089762811
Round took 0.095743601
Round took 0.105297225
Round took 0.097116801
Round took 0.101950851
Round took 0.086851629
Round took 0.092054816
Round took 0.310241932
Round took 0.100496318
Round took 0.095677252
Round took 0.091863577
Round took 0.102532572
Round took 0.095728549
Round took 0.100186238
Round took 0.100878912
Round took 0.092117684
Round took 0.130003439
