Uniform distribution
Round took 0.018368015
Round took 0.003374677
Round took 0.00732713
Round took 0.054652317
Round took 0.165075046
Round took 0.003437508
Round took 0.006032301
Round took 0.178721265
Round took 0.002653042
Round took 0.099006288
Round took 0.003208562
Round took 0.075915274
Round took 0.100735502
Round took 0.046458167
Round took 0.075959672
Round took 0.002823387
Round took 0.074100422
Round took 0.082084173
Round took 0.113431834
Round took 0.043639785
Round took 0.03818204
Round took 0.043991739
Round took 0.039626917
Round took 0.085876959
Round took 0.055549085
Round took 0.051035727
Round took 0.004276482
Round took 0.086768299
Round took 0.005773379
Round took 0.087822149
Round took 0.040197555
Round took 0.077563613
Round took 0.080566149
Round took 0.040280638
Round took 0.039932856
Round took 0.157750117
Round took 0.042669316
Round took 0.090165469
Round took 0.051082444
Round took 0.056833146
Round took 0.096484366
Round took 0.050768752
Round took 0.008379528
Round took 0.046582393
Round took 0.040867206
Round took 0.041081038
Round took 0.043235735
Round took 0.047954545
Round took 0.04899339
Round took 0.044438479
Round took 0.120365442
Round took 0.047939192
Round took 0.077344519
Round took 0.006616378
Round took 0.049584565
Round took 0.124841219
Round took 0.081142583
Round took 0.09905151
Round took 0.10054114
Round took 0.053206821
Round took 0.038244155
Round took 0.044891108
Round took 0.003112855
Round took 0.047388019
Round took 0.086527885
Round took 0.043811636
Round took 0.082216522
Round took 0.043157989
Round took 0.036560169
Round took 0.006305112
Round took 0.075066835
Round took 0.044121698
Round took 0.004169845
Round took 0.04932573
Round took 0.041962909
Round took 0.005312856
Round took 0.08040253
Round took 0.049028634
Round took 0.065188582
Round took 0.050722176
Round took 0.001700447
Round took 0.005006944
Round took 0.005506404
Round took 0.054390042
Round took 0.007935889
Round took 0.045883242
Round took 0.082842138
Round took 0.041849084
Round took 0.049437267
Round took 0.005053024
Round took 0.086420069
Round took 0.079742844
Round took 0.239614288
Round took 0.046715574
Round took 0.078564658
Round took 0.056928471
Round took 0.047303535
Round took 0.045490469
Round took 0.046860369
Round took 0.192746428
Round took 0.041845192
Round took 0.087439689
Round took 0.005356058
Round took 0.047138094
Round took 0.082701594
Round took 0.124200663
Round took 0.042224102
Round took 0.085184016
Round took 0.041786795
Round took 0.058767378
Round took 0.053401111
Round took 0.04463699
Round took 0.039209253
Round took 0.043535639
Round took 0.043974986
Round took 0.076274791
Round took 0.088271434
Round took 0.041322512
Round took 0.003283731
Round took 0.003943935
Round took 0.040023131
Round took 0.004285691
Round took 0.047753196
Round took 0.04042527
Round took 0.043018986
Round took 0.050195237
Round took 0.09192787
Round took 0.117351691
Round took 0.043940022
Round took 0.048484496
Round took 0.04179877
Round took 0.047832039
Round took 0.008860509
Round took 0.052746179
Round took 0.053027138
Round took 0.002913974
Round took 0.053313462
Round took 0.046105224
Round took 0.040454361
Round took 0.003246594
Round took 0.076331129
Round took 0.003099761
Round took 0.007394578
Round took 0.085072748
Round took 0.047547937
Round took 0.079677888
Round took 0.119948844
Round took 0.079303916
Round took 0.078562625
Round took 0.00234691
Round took 0.044659415
Round took 0.006033659
Round took 0.044309794
Round took 0.056560399
Round took 0.005975202
Round took 0.105602671
Round took 0.084800019
Round took 0.00233493
Round took 0.040346792
Round took 0.128313593
Round took 0.006717812
Round took 0.093526804
Round took 0.081822275
Round took 0.041198357
Round took 0.084245166
Round took 0.007186196
Round took 0.004597599
Round took 0.009845818
Round took 0.017363906
Round took 0.036001866
Round took 0.041941965
Round took 0.041369206
Round took 0.007170893
Round took 0.08418928
Round took 0.059740301
Round took 0.049978877
Round took 0.059160937
Round took 0.001523329
Round took 0.047820756
Round took 0.149866374
Round took 0.041849272
Round took 0.04240017
Round took 0.03381772
Round took 0.049341646
Round took 0.003085639
Round took 0.003442157
Round took 0.006623589
Round took 0.047096977
Round took 0.035172835
Round took 0.042281691
Round took 0.007123574
Round took 0.048379919
Round took 0.002792797
Round took 0.047395584
Round took 0.003899417
Round took 0.043403459
Round took 0.041486708
Round took 0.040315755
Round took 0.081900231
Round took 0.045464536
Round took 0.064777855
Round took 0.003767056
Round took 0.056882537
Round took 0.091303147
Round took 0.042257347
Round took 0.045168541
Round took 0.00274175
Round took 0.005914421
Round took 0.006981663
Round took 0.011568028
Round took 0.049388831
Round took 0.044776312
Round took 0.004544975
Round took 0.004541013
Round took 0.038926497
Round took 0.044098899
Round took 0.005497539
Round took 0.005587514
Round took 0.002308218
Round took 0.040788498
Round took 0.003598277
Round took 0.008613873
Round took 0.049491193
Round took 0.045508223
Round took 0.041379656
Round took 0.003669575
Round took 0.087284401
Round took 0.004363787
Round took 0.08509102
Round took 0.057211106
Round took 0.004124435
Round took 0.046603366
Round took 0.094245545
Round took 0.008492795
Round took 0.004245754
Round took 0.047674751
Round took 0.008204135
Round took 0.005258047
Round took 0.043759741
Round took 0.083327625
Round took 0.044517669
Round took 0.081981424
Round took 0.047510474
Round took 0.005989744
Round took 0.053840612
Round took 0.039314947
Round took 0.043779695
Round took 0.122306822
Round took 0.157132515
Round took 0.143155278
Round took 0.045935229
Round took 0.006672057
Round took 0.044013723
Round took 0.0447397
Round took 0.046521665
Round took 0.126798368
Round took 0.037251757
Round took 0.039346962
Round took 0.044339351
Round took 0.237701844
Round took 0.044233907
Round took 0.005604185
Round took 0.08240074
Round took 0.055128323
Round took 0.049403668
Round took 0.046601206
Round took 0.044971249
Round took 0.042479385
Round took 0.002720583
Round took 0.037993713
Round took 0.042044666
Round took 0.039425765
Round took 0.041400585
Round took 0.119694679
Round took 0.039689487
Round took 0.006540628
Round took 0.00729816
Round took 0.003623934
Round took 0.101595736
Round took 0.115587098
Round took 0.00420687
Round took 0.005662687
Round took 0.044639885
Round took 0.086738262
Round took 0.006472714
Round took 0.100089873
Round took 0.083723579
Round took 0.040095242
Round took 0.050013725
Round took 0.003523213
Round took 0.040700645
Round took 0.003697234
Round took 0.083892218
Round took 0.078979483
Round took 0.080232828
Round took 0.086103245
Round took 0.038280286
Round took 0.005215265
Round took 0.008897226
Round took 0.049906319
Round took 0.080264468
Round took 0.007061638
Round took 0.005115857
Round took 0.015656465
Round took 0.007385355
Round took 0.041724629
Round took 0.070281832
Round took 0.012948737
Round took 0.036505012
Round took 0.045447623
Round took 0.137066554
Round took 0.088637968
Round took 0.047159201
Round took 0.046942823
Round took 0.011699074
Round took 0.080039559
Round took 0.047967105
Round took 0.006553034
Round took 0.008814773
Round took 0.007671172
Round took 0.046879417
Round took 0.04377562
Round took 0.004770089
Round took 0.008472936
Round took 0.045324392
Round took 0.045799523
Round took 0.005645579
Round took 0.007978036
Round took 0.047089338
Round took 0.006221246
Round took 0.049972179
Round took 0.049326394
Round took 0.041294772
Round took 0.006475545
Round took 0.044483128
Round took 0.007252828
Round took 0.102574964
Round took 0.082313876
Round took 0.043511845
Round took 0.079822445
Round took 0.038511662
Round took 0.04219063
Round took 0.080949433
Round took 0.075551177
Round took 0.04514649
Round took 0.041389059
Round took 0.006653287
Round took 0.004220123
Round took 0.084231253
Round took 0.005932026
Round took 0.044237021
Round took 0.03829726
Round took 0.088852018
Round took 0.106458076
Round took 0.091070494
